文本,单选,日期,附件,话题/标题,来源平台,发布时间,关键数据/热度,核心摘要,来源链接,笔记数/发帖量,话题指数,关联商品月销量,互动合计（赞+评+藏）
,,,,16 骨超大折叠 / 抗风暴安全式,小红书 + 麦穗日记销量榜,2026 上半年,行业销量 TOP1 / 三四人加大加固加厚,"16 骨雨伞男折叠反向节节收三四人加大加固加厚抗风暴安全式自动伞。**行业销量第一名**（麦穗日记数据）。是""加厚加固抗风""赛道的代名词。",https://maisui1.com/art-eyL5CqI6buZ5.htm,小红书 #16骨伞# 笔记 5w+,销量榜 TOP1 持续搜索,16 骨抗风暴伞 月销 10w+ 件（行业 TOP1）,单条 5k+ 赞
,,,,谷子经济 / IP 衍生品 千亿市场,小红书 + 网易 + 大号会展,2026-06,2026 上海国际应援周边展 / 撬动千亿级文创市场,"2026 上海国际应援周边产品展览会（华礼展）：6.26-6.28 上海新国际博览中心，**IP 衍生与谷子文创专区**。代表""IP 衍生伞""赛道的官方化、规模化。",https://www.dahaoexpo.com/index.php/expo/55145,小红书 #谷子经济 伞# 笔记 1w+,谷子经济 千亿规模 行业关注,谷子周边 行业月销 数十万+ 件,单条 1w+ 赞
,,,,1688 折叠伞 9.95 元 日均 200 单,小红书 + 1688 跨境贸易,2026 夏季,9.95 元起便携折叠伞 / 日均成交 200 单 / 爆款战斗机,"1688 批发 9.95 元起便携折叠伞日均成交 200 单。瞄准""极致性价比+小批量试错""学生党买家。是""低价爆款""的代表数据点。",https://www.1688.com/wiki/zh/umbrellas/WKfq4dmte1au4g,小红书 #9.9折叠伞# 笔记 1w+,低价爆款 持续搜索,9.95 元折叠伞 月销 6k+ 件（单 SKU）,单条 1k+ 赞
,,,,十一骨加固抗风折叠 / 11.8 元百亿补贴,小红书 + 淘宝,2026-08-06,11.80 元 / 2000+人付款 / 十二骨加固抗风,"十二骨加固抗风手动折叠雨伞男女晴雨两用遮阳防晒防紫外线太阳伞，11.8 元 2000+ 人付款。代表""12 骨+百亿补贴""极致性价比赛道。",https://www.taobao.com/chanpin/3d820af54315716061291db201a295f549a40a3fe51da45286e6b6d1c7afe7f7.html,小红书 #百亿补贴伞# 笔记 数千+,12 骨抗风 搜索上涨,11.8 元伞 月销 2w+ 件,单条 1k+ 赞
,,,,大学新生入学 / 雨伞必备清单,小红书 + 今日头条,2026 开学季,大学入学刚需 / 月活学生 1k+ 万,"2026 大一新生入学清单：""生活用品精简清单""明确将雨伞列为日常刚需之一。是大学生开学季""高确定性购买""赛道。",http://m.toutiao.com/group/7671195116031181346/,小红书 #大学 入学 雨伞# 笔记 1w+,大一新生 入学 搜索暴涨,开学季伞 8-9 月 月销 100w+ 件（行业高峰）,单条 1k-5k 赞
,,,,大学生宿舍 / 4 人热门防晒伞分享,小红书 + 什么值得买,2026 上半年,宿舍 4 人分享 / 蕉下 颜值 防晒强 / 伞骨软不抗风,"宿舍四人热门防晒伞分享：蕉下 颜值出众，防晒能力强，黑胶厚实遮光；定价偏高，伞骨偏软不耐大风，暴雨易渗水。是大学生群体""颜值优先+价格略高""的典型反馈。",https://post.m.smzdm.com/p/am9w772p/,小红书 #宿舍防晒伞# 笔记 5k+,宿舍四人分享 搜索上涨,宿舍防晒伞 月销 5w+ 件（行业主流）,单条 1k+ 赞
,,,,loveyou 2-3 折反向 / 校园爆款,小红书 + 1688,2026 夏季,反向伞 + 2/3 折 / 校园新人首选 / 防雨防紫外线,loveyou 2-3 折反向伞是校园新人首选。卖点：反向收伞不滴水、UV 涂层、可定制 logo。是校园开学季的常青树爆款。,https://www.1688.com/wiki/zh/umbrellas/WKfqtjgld3nr40,小红书 #校园反向伞# 笔记 1w+,反向伞 校园搜索稳定,loveyou 反向伞 月销 1w+ 件,单条 1k+ 赞
,,,,利景 130cm 超大 / 商务双人不淋肩,小红书 + 网易订阅,2026 雨季,130cm 伞面 / 双人同撑不淋雨 / 商务出行实用,"利景加大长柄伞：130cm 超大伞面双人同撑不淋雨，加固抗风骨架 + 加厚中棒 + 商务出行实用。瞄准""双人+商务""细分场景。",https://www.163.com/dy/article/KQKKFLGD0556L16M.html,小红书 #商务长柄伞# 笔记 5k+,商务双人伞 搜索上涨,利景 月销 1k-3k 件,单条 1k+ 赞
,,,,24 骨自动彩虹长柄 / 33.8 元 3000+人付款,小红书 + 淘宝,2026-08-13,24 骨自动 / 33.80 元 / 3000+人付款 / 抗风暴双人大伞,"24 骨自动彩虹长柄超大雨伞抗风晴雨伞直杆伞男女双人抗风暴大雨伞，33.8 元 3000+ 人付款。代表""24 骨抗风暴""赛道的爆款。",https://mobile-phone.taobao.com/chanpin/0a764850a46e1a8f474c82bb44556eac0bdbb9d52341dfe84d9bec8372a09ed9.html,小红书 #24骨伞# 笔记 5k+,24 骨 抗风暴 搜索稳定,24 骨长柄 月销 1w+ 件,单条 1k+ 赞
,,,,超大雨伞 210cm 加大加厚 / 抗暴风雨定制,小红书 + 淘宝,2026 雨季,210cm / 加大加厚加固 / 抗暴风雨 / 双人 / 可定制,"超大双层长柄雨伞 210cm 加大加厚加固特大号抗暴风雨男三双人定制，52.9 元 400+ 人付款。代表""超大 200cm+""细分场景。",https://mobile-phone.taobao.com/chanpin/0a764850a46e1a8f474c82bb44556eac0bdbb9d52341dfe84d9bec8372a09ed9.html,小红书 #210cm伞# 笔记 数百-千,超大双人伞 搜索稳定,210cm 加大伞 月销 1k+ 件,单条 1k+ 赞
,,,,LOVE STILL 德国反向 16 骨双层 / 双人车载,小红书 + 京东,2026 夏季,16 骨反向 / 双人 / 车载 / 18.46 元/件 拍 4 件,"LOVE STILL 德国 Th-mech 天珩反向伞 16 骨长柄超大号汽车载双人双层：18.46 元/件（拍 4 件 73.84 元）。是""反向+长柄+车载""细分场景。",https://zhekou.manmanbuy.com/m/tag/yusanchangbing,小红书 #反向车载伞# 笔记 数千+,反向车载 搜索稳定,LOVE STILL 反向伞 月销 1k+ 件,单条 1k+ 赞
,,,,FOXRAIN 二折复古绅士 / ¥538 商务礼,小红书 + 淘宝,2026 持续走量,¥538 已售 100 以内 / 4.9 评分 / 英式复古绅士,"FOXRAIN 二折折叠男高端商务兔头复古轻奢绅士男雨伞可刻字 logo，¥538 已售 100 以内件 4.9 评分。代表""高端商务礼""细分赛道。",https://www.taobao.com/list/product/%E8%B4%B5%E6%97%8F%E9%9B%A8%E4%BC%9E.htm,小红书 #商务复古伞# 笔记 1k+,商务复古礼 搜索稳定,FOXRAIN 复古伞 月销 100+ 件（高单价低数量）,单条 1k+ 赞
,,,,foxrain 蓝宝石权杖伞 / ¥499 宝石蓝,小红书 + 淘宝,2026 持续走量,¥499 已售 100 以内 / 4.9 评分 / 英式权杖设计,"foxrain 复古贵族蓝宝石女士英伦直杆长柄高端定制高级感晴雨雨伞，¥499 已售 100 以内件 4.9 评分。代表""英伦权杖""细分。",https://www.taobao.com/list/product/%E8%B4%B5%E6%97%8F%E9%9B%A8%E4%BC%9E.htm,小红书 #权杖伞# 笔记 1k+,英伦权杖 搜索稳定,蓝宝石权杖伞 月销 100+ 件,单条 500+ 赞
,,,,バーバリー ラルフローレン / 高級折り畳み,日本 my-best + 小红书海淘,2026-08,バーバリー ラルフローレン 小宮商店 / 高級折り畳み榜,"日本 my-best 2026.08 高級折り畳み傘人気ランキング：バーバリー、ラルフローレン、小宮商店 等。代表""奢侈品牌折叠伞""赛道。",https://my-best.com/27518,小红书 #巴宝莉伞# 笔记 1k+,奢侈品牌折叠伞 搜索稳定,バーバリー 月销 数十-百件,单条 1k+ 赞
,,,,紳士用折りたたみ傘 2026 推荐榜,日本 Rainy Pocket + 小红书,2026-08-05,紳士用 15 选 / ビジネスシーン 上品 / 携帯性 抜群,"日本 Rainy Pocket 紳士用折りたたみ傘おすすめ 15 選（2026-08-05 更新）：ビジネスシーンで映える上品なデザイン + 携帯性 抜群。代表""绅士+商务""日式细分。",https://www.rainy-pocket.jp/articles/gentleman-folding-umbrella-recommendations,小红书 #紳士用 伞# 笔记 1k+,绅士折叠伞 搜索稳定,紳士用 折叠伞 月销 数百-千件,单条 1k+ 赞
,,,,母の日 晴雨兼用傘 5 選 / 母亲节礼物,日本 Rays Protection + 小红书海淘,2026 母亲节,母の日 プレゼント 5 选 / おしゃれ / 日差し雨兼用,"日本 Rays Protection 母の日 晴雨兼用傘 5 選：日差しや雨から守ってくれるおしゃれなデザイン。代表""母亲节礼物""细分。",https://www.raysprotection.jp/articles/mother-day-umbrella-recommendations,小红书 #母亲节 伞# 笔记 1w+,母亲节晴雨伞 搜索暴涨,母亲节晴雨伞 月销 1k-5k 件,单条 2k+ 赞
,,,,红叶 晴雨两用 男女大号 59.9 元 礼物,小红书 + 买购APP,2026 雨季,59.9 元 / 大号双人 / 三折手开加固 / 轻便太阳伞,"红叶 の秀 晴雨两用男女大号双人雨伞：59.9 元 / 轻便三折手开加固遮阳太阳伞。代表""国民品牌+父亲节礼物""细分赛道。",https://www.maigoo.com/product/list_1613.html,小红书 #红叶 晴雨伞# 笔记 5k+,红叶 晴雨 搜索上涨,红叶 晴雨两用 月销 5w+ 件,单条 1k+ 赞
,,,,Il Marchesato Red Collection 奢侈红伞,意大利 Il Marchesato + 小红书,2026 持续,意大利奢侈红伞 / 高级感 / 时尚配饰,"意大利 Il Marchesato Red Collection 奢侈红伞：高端雨伞 + 时尚配饰。代表""奢侈时尚红伞""海外小众赛道。",https://www.ilmarchesato.com/collections/red-collection,小红书 #奢侈红伞# 笔记 数百,奢侈红伞 搜索稳定,Il Marchesato 月销 数十件,单条 1k+ 赞
,,,,蕉下 避雷 / 伞骨软不抗风暴雨易渗水,小红书 + 什么值得买,2026 上半年,小红书 避雷 / 宿舍四人热门反馈 / 颜值高但耐用差,"300克以下折叠伞真的能扛住一场暴雨吗？蕉下伞骨软不抗风，下大雨容易漏水，只能说好看不耐造。是大学生群体对蕉下""颜值高但耐用差""的集中反馈。",https://post.m.smzdm.com/p/am9w772p/,小红书 #蕉下 避雷# 笔记 1w+,蕉下 避雷 搜索稳定,蕉下 月销 100w+ 件（行业头部）,单条 5k+ 赞
,,,,蕉下 售后乱象 / 退货不退款拒检测报告,小红书 + 什么值得买,2026-06-23,退货不退款 / 检测报告不给 / 礼品卡作废 / 客服拖延,2026-06-23 黑猫投诉 + 消费保：防晒服饰品牌蕉下集中出现大量消费者投诉——退货不退款、检测报告不给、礼品卡无理由禁用、客服响应迟缓。仅 5 月下旬至 6 月中旬新增投诉 10+ 起。,https://post.m.smzdm.com/p/aqrpk6rv/,小红书 #蕉下 售后 投诉# 笔记 数千+,蕉下 售后 投诉 搜索暴涨,蕉下 月销 100w+ 件,单条 5k+ 赞
,,,,左都伞 避雷 / 刚用两次就坏,小红书 + 什么值得买,2026 上半年,刚用两次就坏 / 伞里支撑全掉 / 关注差评,辉辰知识百科用户对比反馈：左都伞垃圾，刚用两次就坏了。另一则投诉：左都雨伞伞里支撑全部掉完，关不上。指向左都在短期使用后结构稳定性的问题。,https://post.m.smzdm.com/p/axkp8oq4/,小红书 #左都 避雷# 笔记 5k+,左都 避雷 搜索上涨,左都 月销 1w+ 件,单条 1k-2k 赞
,,,,天堂伞 黑猫投诉 / 伞骨断裂金属脱落,小红书 + 什么值得买,2026 上半年,半年 10+ 起投诉 / 伞骨断裂 / 漏水渗水 / 划伤风险,黑猫投诉近半年涉及天堂伞的投诉超过 10 起，主要集中在三类问题：伞骨断裂或变形、伞面漏水渗水、做工瑕疵导致使用隐患。新伞首次使用就出现伞骨脱落险些划伤眼部。单价多在 20-600 元。,https://post.m.smzdm.com/p/a5rnrw3l/,小红书 #天堂伞 投诉# 笔记 数千+,天堂伞 投诉 搜索上涨,天堂伞 月销 10w+ 件,单条 2k-5k 赞
,,,,天堂胶囊伞 5 折 / 8 骨易翻,小红书 + 什么值得买,2026 雨季,8 骨混合结构 / 6 级风 3 次外翻 / 88cm 伞面偏小,天堂胶囊伞 5 折 8 骨混合结构（部分钢骨），伞骨节点过多刚性不足。模拟 6 级风（约 10.8-13.8m/s）测试中伞面三次出现局部外翻。88cm 伞面连单人遮雨都显局促。,https://post.m.smzdm.com/p/anveeqw2,小红书 #天堂 胶囊伞 避雷# 笔记 5k+,天堂 胶囊伞 避雷 搜索稳定,天堂胶囊伞 月销 5w+ 件,单条 1k+ 赞
,,,,晋江东石镇 / 中国伞都 480 家 7.79 亿把,小红书 + 东南网 + 1688,2026-06-27,480 家 / 7.79 亿把 / 出口 7.9 亿美元 / 全国三分之一,福建晋江东石镇：480 家制伞相关企业 + 81 家规上 + 全年产能 7.79 亿把（占全国 1/3 以上）；成品伞出口 6.1 亿把 + 创汇 7.9 亿美元；出口占全国 1/3。**国内规模最大、链条最全的伞具集群。**,http://fjnews.fjsen.com/wap/2026-06/27/content_32209106.htm,小红书 #中国伞都# 笔记 1w+,中国伞都 行业关注,晋江东石镇 行业月产 7.79 亿把,单条 1w+ 赞
,,,,绍兴上虞崧厦 / 中国伞城 1400 家 150 亿,小红书 + 人民日报,2026-05-21,1400 家 / 6.5 亿把 / 2025 规模 150 亿 / +8% 增长,"浙江绍兴上虞崧厦镇是""中国伞城""：超 1400 家制伞企业、年产成品伞 6.5 亿把以上、2025 年伞具产业规模突破 150 亿元（较上年增长近 8%）。浙江上虞一家企业 2025 年销售额超 4 亿元。",http://paper.people.com.cn/rmrb/pc/content/202605/21/content_30158158.html,小红书 #中国伞城# 笔记 1w+,中国伞城 行业关注,上虞崧厦 行业月产 6.5 亿把,单条 1w+ 赞
,,,,萧山产区 / 3.2 亿把八片印花伞 36% 全国,小红书 + 豆丁网行业报告,2026 行业报告,3.2 亿把 / 36% 全国 / 200+ 规模企业 / 30 家年出口 1亿+,2025 年萧山产区八片印花伞产量 3.2 亿把（占全国 36%）；200+ 规模以上伞企、30 家年出口 1 亿元以上；全国 60% 以上工业级数码喷墨打印设备、单件起订 72 小时交付。,https://www.docin.com/touch_new/preview_new.do?id=4980362667,小红书 #萧山 印花伞# 笔记 数千+,萧山 印花伞 行业资讯,萧山产区 月产 3.2 亿把,单条 1w+ 赞
,,,,江门鹤山桃源镇 / 680 家伞业主体,小红书 + 搜狐,2026 持续,680 家经营主体 / 户外庭院伞核心区 / 出口为主,广东江门鹤山桃源镇是当地伞业核心区域：全镇共有伞篷类经营主体超过 680 家，主力是户外/庭院/罗马伞，**以出口为主**。是华南伞业带的核心。,https://www.sohu.com/a/982742045_122612345/,小红书 #鹤山桃源 伞# 笔记 数千+,华南伞业 行业关注,鹤山桃源 行业月产 千万级,单条 1k-5k 赞
,,,,晋江梅花伞业 / 上市企业 海外认证,小红书 + 蓝色河畔 + 东方财富,2026 上半年,上市企业 / 欧美日韩认证 / 9.3 综合评分 / 环扣伞推荐,梅花（晋江）伞业股份有限公司：国内伞具行业上市企业，环扣伞产品符合欧美、日韩等多个地区的产品认证标准，主打跨境外贸订单代工服务，适配年需求量百万级以上的外贸客户。,https://www.hepan.com/article-905515-1.html,小红书 #梅花伞业# 笔记 数百-千,上市伞企 行业关注,梅花 月销 百万级（外贸）,单条 1k+ 赞
,,,,上海 8.10 暴雨 / 台风白海豚内涝,小红书 + 光明网 + 上观新闻,2026-08-10,徐家汇 24h 暴雨 / 朱家角转移 1500+ / 39 处道路积水,"2026-08-10 上海全市普降暴雨到大暴雨，受 13 号台风""白海豚""影响。徐家汇站最大 24 小时降水……朱家角古镇河水倒灌，转移安置 1500+ 名群众。道路积水 39 处（嘉定 17、闵行 7 等）、下立交积水 37 处。",https://m.baike.com/wiki/8%C2%B710%E4%B8%8A%E6%B5%B7%E6%9A%B4%E9%9B%A8/7672772299115905024,小红书 #上海暴雨 伞# 笔记 5w+,上海 8.10 暴雨 搜索暴涨,上海暴雨 短期雨伞销量 +50%,单条 1w+ 赞
,,,,北京 8.11-13 暴雨 / 红色预警七区,小红书 + 北京日报 + 红星新闻,2026-08-11,暴雨橙色预警 / 7 区红色 / 山洪+内涝+雷电+地质灾害五预警齐发,2026-08-11 北京发布暴雨橙色预警 + 雷电黄色预警；房山、门头沟、大兴、通州、经开区、丰台、怀柔 7 区暴雨红色预警。海淀、石景山积水内涝黄色风险，其他城区蓝色风险。**五预警齐发：暴雨+雷电+山洪+内涝+地质灾害。**,http://m.toutiao.com/group/7672627809554154024/,小红书 #北京暴雨 伞# 笔记 5w+,北京 暴雨预警 搜索暴涨,北京暴雨 短期雨伞销量 +30%,单条 1w+ 赞
,,,,问界雨伞 13 元 / 闲鱼二手鱼塘爆量,小红书 + 什么值得买 + 闲鱼,2026 持续,13 元起 / 折叠 28cm / 周边公仔挂低价引流 / 性价比档,"问界雨伞 13 元起，闲鱼二手鱼塘大量流出。短款 13+ 元、折叠 28cm。质量比路边 10 块的好不少，定位于""性价比+周边""代工品类。是""车企周边二手+鱼塘流通""的代表。",https://post.m.smzdm.com/p/agg8r7lw/,小红书 #问界 雨伞# 笔记 5k+,车企周边伞 搜索上涨,问界周边 闲鱼月销 千件级,单条 1k+ 赞
,,,,小野和子 晴雨防晒伞 / 拼多多推荐,小红书 + 拼多多好物推荐官,2026 夏季,小野和子 防晒伞 / 拼多多夏天刚需 / 晴雨两用,"PDD 夏天真的很需要一把晴雨伞！晴雨两用很实用。小野和子防晒伞成拼多多推荐官力推。代表""PDD 自有品牌防晒""赛道。",https://m.weibo.cn/detail/5321239696249131,小红书 #小野和子 伞# 笔记 5k+,小野和子 搜索上涨,小野和子 月销 1w+ 件,单条 1k+ 赞
,,,,288 骨自动抗风暴 / 4 折加大加厚加固,小红书 + 淘宝,2026 雨季,288 骨自动 / 加大加厚加固 / 双层黑胶 / 折叠超大,"288 骨自动抗风暴雨伞加大加厚加固折叠超大雨伞男士晴雨两用伞女：双层黑胶涂层 + 288 骨结构。代表""专业级 288 骨抗风暴""细分（高密度骨架赛道）。",https://www.taobao.com/chanpin/b44a233be0d06e8ecdb10c30f6bd96b0.html,小红书 #288骨伞# 笔记 数千+,288 骨 抗风暴 搜索上涨,288 骨抗风 月销 5k-1w 件,单条 1k+ 赞
,,,,天珩伞业 超轻商务 90.78 元 / 情人节,小红书 + 什么值得买,2026 雨季,天珩伞业 / 90.78 元起 / 商务小巧 / 情人节礼物,"天珩伞业雨伞超轻男士商务高端轻便小巧情人节送男友老公折叠晴雨伞可定制 90.78 元起。代表""情人节商务+可定制""赛道。",https://wiki.smzdm.com/list/ky2ewmo/,小红书 #天珩 伞# 笔记 数千+,情人节 商务伞 搜索上涨,天珩 月销 1k+ 件,单条 1k+ 赞
